query_id,alumni_id,nim,prodi,angkatan,platform_target,query_text,query_type,created_at,scheduler_batch_id
Q-0000056,ALM-2018-01-012,201801012,Informatika,2018,Web Umum,"""Dinda Annisa Setiawan"" ""Universitas Muhammadiyah Malang""",identity_affiliation,2023-11-08,BATCH-2018-W51
Q-0000057,ALM-2018-01-012,201801012,Informatika,2018,Web Umum,"""Dinda Annisa Setiawan"" ""Informatika"" ""UMM""",identity_major,2023-05-05,BATCH-2018-W51
Q-0000058,ALM-2018-01-012,201801012,Informatika,2018,Google Scholar,"""Dinda Annisa Setiawan"" site:scholar.google.com",academic_profile,2023-05-15,BATCH-2018-W51
Q-0000059,ALM-2018-01-012,201801012,Informatika,2018,ORCID,"""Dinda Annisa Setiawan"" ORCID",research_profile,2024-06-14,BATCH-2018-W51
Q-0000060,ALM-2018-01-012,201801012,Informatika,2018,LinkedIn,"""Dinda Annisa Setiawan"" ""Software Engineer"" ""Malang""",career_context,2024-11-05,BATCH-2018-W51
Q-0000061,ALM-2018-01-013,201801013,Informatika,2018,Web Umum,"""Ahmad Intan Maulana"" ""Universitas Muhammadiyah Malang""",identity_affiliation,2022-08-18,BATCH-2018-W49
Q-0000062,ALM-2018-01-013,201801013,Informatika,2018,Web Umum,"""Ahmad Intan Maulana"" ""Informatika"" ""UMM""",identity_major,2024-04-06,BATCH-2018-W49
Q-0000063,ALM-2018-01-013,201801013,Informatika,2018,Google Scholar,"""Ahmad Intan Maulana"" site:scholar.google.com",academic_profile,2022-01-15,BATCH-2018-W49
Q-0000064,ALM-2018-01-013,201801013,Informatika,2018,ORCID,"""Ahmad Intan Maulana"" ORCID",research_profile,2024-06-21,BATCH-2018-W49
Q-0000065,ALM-2018-01-013,201801013,Informatika,2018,LinkedIn,"""Ahmad Intan Maulana"" ""Consultant"" ""Malang""",career_context,2023-05-03,BATCH-2018-W49
Q-0000066,ALM-2018-01-014,201801014,Informatika,2018,Web Umum,"""Ahmad Annisa Pratama"" ""Universitas Muhammadiyah Malang""",identity_affiliation,2024-09-28,BATCH-2018-W50
Q-0000067,ALM-2018-01-014,201801014,Informatika,2018,Web Umum,"""Ahmad Annisa Pratama"" ""Informatika"" ""UMM""",identity_major,2024-02-10,BATCH-2018-W50
Q-0000068,ALM-2018-01-014,201801014,Informatika,2018,Google Scholar,"""Ahmad Annisa Pratama"" site:scholar.google.com",academic_profile,2023-05-12,BATCH-2018-W50
Q-0000069,ALM-2018-01-014,201801014,Informatika,2018,ORCID,"""Ahmad Annisa Pratama"" ORCID",research_profile,2022-01-25,BATCH-2018-W50
Q-0000070,ALM-2018-01-014,201801014,Informatika,2018,LinkedIn,"""Ahmad Annisa Pratama"" ""Engineer"" ""Malang""",career_context,2022-10-15,BATCH-2018-W50
Q-0000071,ALM-2018-01-015,201801015,Informatika,2018,Web Umum,"""Fitri Amelia Setiawan"" ""Universitas Muhammadiyah Malang""",identity_affiliation,2023-07-14,BATCH-2018-W36
Q-0000072,ALM-2018-01-015,201801015,Informatika,2018,Web Umum,"""Fitri Amelia Setiawan"" ""Informatika"" ""UMM""",identity_major,2023-12-17,BATCH-2018-W36
Q-0000073,ALM-2018-01-015,201801015,Informatika,2018,Google Scholar,"""Fitri Amelia Setiawan"" site:scholar.google.com",academic_profile,2024-10-22,BATCH-2018-W36
Q-0000074,ALM-2018-01-015,201801015,Informatika,2018,ORCID,"""Fitri Amelia Setiawan"" ORCID",research_profile,2022-07-20,BATCH-2018-W36
Q-0000075,ALM-2018-01-015,201801015,Informatika,2018,LinkedIn,"""Fitri Amelia Setiawan"" ""Consultant"" ""Malang""",career_context,2024-03-24,BATCH-2018-W36
Q-0000076,ALM-2018-01-016,201801016,Informatika,2018,Web Umum,"""Andi Dimas Kurniawan"" ""Universitas Muhammadiyah Malang""",identity_affiliation,2024-06-28,BATCH-2018-W18
Q-0000077,ALM-2018-01-016,201801016,Informatika,2018,Web Umum,"""Andi Dimas Kurniawan"" ""Informatika"" ""UMM""",identity_major,2023-12-15,BATCH-2018-W18
Q-0000078,ALM-2018-01-016,201801016,Informatika,2018,Google Scholar,"""Andi Dimas Kurniawan"" site:scholar.google.com",academic_profile,2025-09-03,BATCH-2018-W18
Q-0000079,ALM-2018-01-016,201801016,Informatika,2018,ORCID,"""Andi Dimas Kurniawan"" ORCID",research_profile,2023-09-06,BATCH-2018-W18
Q-0000080,ALM-2018-01-016,201801016,Informatika,2018,LinkedIn,"""Andi Dimas Kurniawan"" ""Software Engineer"" ""Malang""",career_context,2024-04-26,BATCH-2018-W18
Q-0000081,ALM-2018-01-017,201801017,Informatika,2018,Web Umum,"""Rani Galih Ramadhan"" ""Universitas Muhammadiyah Malang""",identity_affiliation,2025-06-23,BATCH-2018-W46
Q-0000082,ALM-2018-01-017,201801017,Informatika,2018,Web Umum,"""Rani Galih Ramadhan"" ""Informatika"" ""UMM""",identity_major,2024-06-22,BATCH-2018-W46
Q-0000083,ALM-2018-01-017,201801017,Informatika,2018,Google Scholar,"""Rani Galih Ramadhan"" site:scholar.google.com",academic_profile,2023-10-19,BATCH-2018-W46
Q-0000084,ALM-2018-01-017,201801017,Informatika,2018,ORCID,"""Rani Galih Ramadhan"" ORCID",research_profile,2023-02-15,BATCH-2018-W46
Q-0000085,ALM-2018-01-017,201801017,Informatika,2018,LinkedIn,"""Rani Galih Ramadhan"" ""Consultant"" ""Malang""",career_context,2024-02-26,BATCH-2018-W46
Q-0000086,ALM-2018-01-018,201801018,Informatika,2018,Web Umum,"""Putri Farhan Sari"" ""Universitas Muhammadiyah Malang""",identity_affiliation,2025-08-23,BATCH-2018-W38
Q-0000087,ALM-2018-01-018,201801018,Informatika,2018,Web Umum,"""Putri Farhan Sari"" ""Informatika"" ""UMM""",identity_major,2024-04-26,BATCH-2018-W38
Q-0000088,ALM-2018-01-018,201801018,Informatika,2018,Google Scholar,"""Putri Farhan Sari"" site:scholar.google.com",academic_profile,2024-07-21,BATCH-2018-W38
Q-0000089,ALM-2018-01-018,201801018,Informatika,2018,ORCID,"""Putri Farhan Sari"" ORCID",research_profile,2025-02-21,BATCH-2018-W38
Q-0000090,ALM-2018-01-018,201801018,Informatika,2018,LinkedIn,"""Putri Farhan Sari"" ""Engineer"" ""Malang""",career_context,2024-12-19,BATCH-2018-W38
Q-0000091,ALM-2018-01-019,201801019,Informatika,2018,Web Umum,"""Ilham Bagas Rahmawati"" ""Universitas Muhammadiyah Malang""",identity_affiliation,2023-01-02,BATCH-2018-W12
Q-0000092,ALM-2018-01-019,201801019,Informatika,2018,Web Umum,"""Ilham Bagas Rahmawati"" ""Informatika"" ""UMM""",identity_major,2022-07-07,BATCH-2018-W12
Q-0000093,ALM-2018-01-019,201801019,Informatika,2018,Google Scholar,"""Ilham Bagas Rahmawati"" site:scholar.google.com",academic_profile,2023-09-12,BATCH-2018-W12
Q-0000094,ALM-2018-01-019,201801019,Informatika,2018,ORCID,"""Ilham Bagas Rahmawati"" ORCID",research_profile,2023-12-03,BATCH-2018-W12
Q-0000095,ALM-2018-01-019,201801019,Informatika,2018,LinkedIn,"""Ilham Bagas Rahmawati"" ""Analyst"" ""Malang""",career_context,2022-08-19,BATCH-2018-W12
Q-0000096,ALM-2018-01-020,201801020,Informatika,2018,Web Umum,"""Dewi Rizky Pratama"" ""Universitas Muhammadiyah Malang""",identity_affiliation,2022-07-11,BATCH-2018-W02
Q-0000097,ALM-2018-01-020,201801020,Informatika,2018,Web Umum,"""Dewi Rizky Pratama"" ""Informatika"" ""UMM""",identity_major,2023-09-12,BATCH-2018-W02
Q-0000098,ALM-2018-01-020,201801020,Informatika,2018,Google Scholar,"""Dewi Rizky Pratama"" site:scholar.google.com",academic_profile,2023-03-10,BATCH-2018-W02
Q-0000099,ALM-2018-01-020,201801020,Informatika,2018,ORCID,"""Dewi Rizky Pratama"" ORCID",research_profile,2023-03-24,BATCH-2018-W02
Q-0000100,ALM-2018-01-020,201801020,Informatika,2018,LinkedIn,"""Dewi Rizky Pratama"" ""Analyst"" ""Malang""",career_context,2023-07-02,BATCH-2018-W02
Q-0000101,ALM-2018-01-021,201801021,Informatika,2018,Web Umum,"""Syifa Rizka Setiawan"" ""Universitas Muhammadiyah Malang""",identity_affiliation,2023-01-13,BATCH-2018-W17
Q-0000102,ALM-2018-01-021,201801021,Informatika,2018,Web Umum,"""Syifa Rizka Setiawan"" ""Informatika"" ""UMM""",identity_major,2022-09-08,BATCH-2018-W17
Q-0000103,ALM-2018-01-021,201801021,Informatika,2018,Google Scholar,"""Syifa Rizka Setiawan"" site:scholar.google.com",academic_profile,2022-12-14,BATCH-2018-W17
Q-0000104,ALM-2018-01-021,201801021,Informatika,2018,ORCID,"""Syifa Rizka Setiawan"" ORCID",research_profile,2023-10-19,BATCH-2018-W17
Q-0000105,ALM-2018-01-021,201801021,Informatika,2018,LinkedIn,"""Syifa Rizka Setiawan"" ""Consultant"" ""Malang""",career_context,2022-06-15,BATCH-2018-W17
Q-0000106,ALM-2018-01-022,201801022,Informatika,2018,Web Umum,"""Bagas Yusuf Hidayat"" ""Universitas Muhammadiyah Malang""",identity_affiliation,2022-02-11,BATCH-2018-W11
Q-0000107,ALM-2018-01-022,201801022,Informatika,2018,Web Umum,"""Bagas Yusuf Hidayat"" ""Informatika"" ""UMM""",identity_major,2022-04-25,BATCH-2018-W11
Q-0000108,ALM-2018-01-022,201801022,Informatika,2018,Google Scholar,"""Bagas Yusuf Hidayat"" site:scholar.google.com",academic_profile,2023-05-06,BATCH-2018-W11
Q-0000109,ALM-2018-01-022,201801022,Informatika,2018,ORCID,"""Bagas Yusuf Hidayat"" ORCID",research_profile,2022-02-14,BATCH-2018-W11
Q-0000110,ALM-2018-01-022,201801022,Informatika,2018,LinkedIn,"""Bagas Yusuf Hidayat"" ""Consultant"" ""Malang""",career_context,2024-01-03,BATCH-2018-W11
Q-0000111,ALM-2018-01-023,201801023,Informatika,2018,Web Umum,"""Farhan Adit Nugroho"" ""Universitas Muhammadiyah Malang""",identity_affiliation,2024-06-26,BATCH-2018-W48
Q-0000112,ALM-2018-01-023,201801023,Informatika,2018,Web Umum,"""Farhan Adit Nugroho"" ""Informatika"" ""UMM""",identity_major,2022-10-27,BATCH-2018-W48
Q-0000113,ALM-2018-01-023,201801023,Informatika,2018,Google Scholar,"""Farhan Adit Nugroho"" site:scholar.google.com",academic_profile,2024-02-12,BATCH-2018-W48
Q-0000114,ALM-2018-01-023,201801023,Informatika,2018,ORCID,"""Farhan Adit Nugroho"" ORCID",research_profile,2024-02-16,BATCH-2018-W48
Q-0000115,ALM-2018-01-023,201801023,Informatika,2018,LinkedIn,"""Farhan Adit Nugroho"" ""Consultant"" ""Malang""",career_context,2022-08-15,BATCH-2018-W48
Q-0000116,ALM-2018-01-024,201801024,Informatika,2018,Web Umum,"""Fitri Siti Pratama"" ""Universitas Muhammadiyah Malang""",identity_affiliation,2024-12-09,BATCH-2018-W33
Q-0000117,ALM-2018-01-024,201801024,Informatika,2018,Web Umum,"""Fitri Siti Pratama"" ""Informatika"" ""UMM""",identity_major,2023-04-03,BATCH-2018-W33
Q-0000118,ALM-2018-01-024,201801024,Informatika,2018,Google Scholar,"""Fitri Siti Pratama"" site:scholar.google.com",academic_profile,2023-05-07,BATCH-2018-W33
Q-0000119,ALM-2018-01-024,201801024,Informatika,2018,ORCID,"""Fitri Siti Pratama"" ORCID",research_profile,2023-05-05,BATCH-2018-W33
Q-0000120,ALM-2018-01-024,201801024,Informatika,2018,LinkedIn,"""Fitri Siti Pratama"" ""Engineer"" ""Malang""",career_context,2022-01-04,BATCH-2018-W33
Q-0000121,ALM-2018-01-025,201801025,Informatika,2018,Web Umum,"""Iqbal Laila Nugroho"" ""Universitas Muhammadiyah Malang""",identity_affiliation,2023-03-27,BATCH-2018-W43
Q-0000122,ALM-2018-01-025,201801025,Informatika,2018,Web Umum,"""Iqbal Laila Nugroho"" ""Informatika"" ""UMM""",identity_major,2025-05-11,BATCH-2018-W43
Q-0000123,ALM-2018-01-025,201801025,Informatika,2018,Google Scholar,"""Iqbal Laila Nugroho"" site:scholar.google.com",academic_profile,2025-08-26,BATCH-2018-W43
Q-0000124,ALM-2018-01-025,201801025,Informatika,2018,ORCID,"""Iqbal Laila Nugroho"" ORCID",research_profile,2024-09-07,BATCH-2018-W43
Q-0000125,ALM-2018-01-025,201801025,Informatika,2018,LinkedIn,"""Iqbal Laila Nugroho"" ""Consultant"" ""Malang""",career_context,2023-05-23,BATCH-2018-W43
Q-0000126,ALM-2018-01-026,201801026,Informatika,2018,Web Umum,"""Arif Zahra Wibowo"" ""Universitas Muhammadiyah Malang""",identity_affiliation,2022-02-08,BATCH-2018-W22
Q-0000127,ALM-2018-01-026,201801026,Informatika,2018,Web Umum,"""Arif Zahra Wibowo"" ""Informatika"" ""UMM""",identity_major,2023-04-08,BATCH-2018-W22
Q-0000128,ALM-2018-01-026,201801026,Informatika,2018,Google Scholar,"""Arif Zahra Wibowo"" site:scholar.google.com",academic_profile,2022-05-24,BATCH-2018-W22
Q-0000129,ALM-2018-01-026,201801026,Informatika,2018,ORCID,"""Arif Zahra Wibowo"" ORCID",research_profile,2022-11-13,BATCH-2018-W22
Q-0000130,ALM-2018-01-026,201801026,Informatika,2018,LinkedIn,"""Arif Zahra Wibowo"" ""Analyst"" ""Malang""",career_context,2024-03-27,BATCH-2018-W22
Q-0000131,ALM-2018-01-027,201801027,Informatika,2018,Web Umum,"""Arif Wahyu Nugroho"" ""Universitas Muhammadiyah Malang""",identity_affiliation,2024-01-08,BATCH-2018-W19
Q-0000132,ALM-2018-01-027,201801027,Informatika,2018,Web Umum,"""Arif Wahyu Nugroho"" ""Informatika"" ""UMM""",identity_major,2024-11-20,BATCH-2018-W19
Q-0000133,ALM-2018-01-027,201801027,Informatika,2018,Google Scholar,"""Arif Wahyu Nugroho"" site:scholar.google.com",academic_profile,2022-02-07,BATCH-2018-W19
Q-0000134,ALM-2018-01-027,201801027,Informatika,2018,ORCID,"""Arif Wahyu Nugroho"" ORCID",research_profile,2022-12-21,BATCH-2018-W19
Q-0000135,ALM-2018-01-027,201801027,Informatika,2018,LinkedIn,"""Arif Wahyu Nugroho"" ""Analyst"" ""Malang""",career_context,2024-06-26,BATCH-2018-W19
Q-0000136,ALM-2018-01-028,201801028,Informatika,2018,Web Umum,"""Dimas Ahmad Saputra"" ""Universitas Muhammadiyah Malang""",identity_affiliation,2023-12-17,BATCH-2018-W13
Q-0000137,ALM-2018-01-028,201801028,Informatika,2018,Web Umum,"""Dimas Ahmad Saputra"" ""Informatika"" ""UMM""",identity_major,2024-12-28,BATCH-2018-W13
Q-0000138,ALM-2018-01-028,201801028,Informatika,2018,Google Scholar,"""Dimas Ahmad Saputra"" site:scholar.google.com",academic_profile,2024-09-04,BATCH-2018-W13
Q-0000139,ALM-2018-01-028,201801028,Informatika,2018,ORCID,"""Dimas Ahmad Saputra"" ORCID",research_profile,2024-08-26,BATCH-2018-W13
Q-0000140,ALM-2018-01-028,201801028,Informatika,2018,LinkedIn,"""Dimas Ahmad Saputra"" ""Software Engineer"" ""Malang""",career_context,2023-09-24,BATCH-2018-W13
Q-0000141,ALM-2018-01-029,201801029,Informatika,2018,Web Umum,"""Naufal Adit Hidayat"" ""Universitas Muhammadiyah Malang""",identity_affiliation,2023-07-27,BATCH-2018-W09
Q-0000142,ALM-2018-01-029,201801029,Informatika,2018,Web Umum,"""Naufal Adit Hidayat"" ""Informatika"" ""UMM""",identity_major,2024-06-15,BATCH-2018-W09
Q-0000143,ALM-2018-01-029,201801029,Informatika,2018,Google Scholar,"""Naufal Adit Hidayat"" site:scholar.google.com",academic_profile,2024-10-09,BATCH-2018-W09
Q-0000144,ALM-2018-01-029,201801029,Informatika,2018,ORCID,"""Naufal Adit Hidayat"" ORCID",research_profile,2025-03-04,BATCH-2018-W09
Q-0000145,ALM-2018-01-029,201801029,Informatika,2018,LinkedIn,"""Naufal Adit Hidayat"" ""Analyst"" ""Malang""",career_context,2023-02-20,BATCH-2018-W09
Q-0000146,ALM-2018-01-030,201801030,Informatika,2018,Web Umum,"""Fitri Dewi Hidayat"" ""Universitas Muhammadiyah Malang""",identity_affiliation,2024-11-23,BATCH-2018-W06
Q-0000147,ALM-2018-01-030,201801030,Informatika,2018,Web Umum,"""Fitri Dewi Hidayat"" ""Informatika"" ""UMM""",identity_major,2024-10-12,BATCH-2018-W06
Q-0000148,ALM-2018-01-030,201801030,Informatika,2018,Google Scholar,"""Fitri Dewi Hidayat"" site:scholar.google.com",academic_profile,2024-10-04,BATCH-2018-W06
Q-0000149,ALM-2018-01-030,201801030,Informatika,2018,ORCID,"""Fitri Dewi Hidayat"" ORCID",research_profile,2025-06-05,BATCH-2018-W06
Q-0000150,ALM-2018-01-030,201801030,Informatika,2018,LinkedIn,"""Fitri Dewi Hidayat"" ""Consultant"" ""Malang""",career_context,2023-02-20,BATCH-2018-W06
Q-0000151,ALM-2018-01-031,201801031,Informatika,2018,Web Umum,"""Safira Aulia Puspitasari"" ""Universitas Muhammadiyah Malang""",identity_affiliation,2024-06-06,BATCH-2018-W51
Q-0000152,ALM-2018-01-031,201801031,Informatika,2018,Web Umum,"""Safira Aulia Puspitasari"" ""Informatika"" ""UMM""",identity_major,2023-04-09,BATCH-2018-W51
Q-0000153,ALM-2018-01-031,201801031,Informatika,2018,Google Scholar,"""Safira Aulia Puspitasari"" site:scholar.google.com",academic_profile,2024-01-28,BATCH-2018-W51
Q-0000154,ALM-2018-01-031,201801031,Informatika,2018,ORCID,"""Safira Aulia Puspitasari"" ORCID",research_profile,2022-03-18,BATCH-2018-W51
Q-0000155,ALM-2018-01-031,201801031,Informatika,2018,LinkedIn,"""Safira Aulia Puspitasari"" ""Engineer"" ""Malang""",career_context,2024-06-09,BATCH-2018-W51
