alumni_id,nim,nama_lengkap,nama_variasi,jenis_kelamin,tanggal_lahir,kota_asal,fakultas,prodi,angkatan,tahun_lulus,ipk,predikat,email,no_hp,kata_kunci_afiliasi,kata_kunci_konteks,target_role,instansi_terakhir,lokasi_terakhir,status_pelacakan,confidence_score,sumber_terakhir,tanggal_update
ALM-2018-01-001,201801001,Muhammad Hafiz Kusuma,Muhammad Hafiz Kusuma | M. Hafiz Kusuma | Muhammad H. | Hafiz Kusuma M.,L,2001-07-03,Sidoarjo,Fakultas Teknik,Informatika,2018,2022,3.56,Cumlaude,muhammad.hafiz.kusuma1@alumni.umm.ac.id,089963334018,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2022 | Sidoarjo,QA Engineer,PT Telkom Indonesia,Malang,Belum Dilacak,0.0,Belum Ada,2024-10-01
ALM-2018-01-012,201801012,Dinda Annisa Setiawan,Dinda Annisa Setiawan | D. Annisa Setiawan | Dinda A. | Annisa Setiawan D.,P,2007-02-10,Batu,Fakultas Teknik,Informatika,2018,2023,3.04,Sangat Memuaskan,dinda.annisa.setiawan12@alumni.umm.ac.id,082748309234,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2023 | Batu,Software Engineer,PT PLN,Jember,Belum Dilacak,0.0,Belum Ada,2024-12-02
ALM-2018-01-013,201801013,Ahmad Intan Maulana,Ahmad Intan Maulana | A. Intan Maulana | Ahmad I. | Intan Maulana A.,L,2007-12-24,Surabaya,Fakultas Teknik,Informatika,2018,2022,2.98,Memuaskan,ahmad.intan.maulana13@alumni.umm.ac.id,087598297060,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2022 | Surabaya,Backend Developer,PT Semen Indonesia,Sidoarjo,Belum Dilacak,0.0,Belum Ada,2022-08-26
ALM-2018-01-014,201801014,Ahmad Annisa Pratama,Ahmad Annisa Pratama | A. Annisa Pratama | Ahmad A. | Annisa Pratama A.,L,2000-01-18,Gresik,Fakultas Teknik,Informatika,2018,2022,3.24,Sangat Memuaskan,ahmad.annisa.pratama14@alumni.umm.ac.id,083067418686,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2022 | Gresik,QA Engineer,PT Telkom Indonesia,Sidoarjo,Belum Dilacak,0.0,Belum Ada,2023-08-10
ALM-2018-01-015,201801015,Fitri Amelia Setiawan,Fitri Amelia Setiawan | F. Amelia Setiawan | Fitri A. | Amelia Setiawan F.,P,2001-02-16,Blitar,Fakultas Teknik,Informatika,2018,2022,3.91,Cumlaude,fitri.amelia.setiawan15@alumni.umm.ac.id,083328710672,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2022 | Blitar,Data Engineer,PT Telkom Indonesia,Malang,Belum Dilacak,0.0,Belum Ada,2024-03-02
ALM-2018-01-016,201801016,Andi Dimas Kurniawan,Andi Dimas Kurniawan | A. Dimas Kurniawan | Andi D. | Dimas Kurniawan A.,L,1999-10-06,Gresik,Fakultas Teknik,Informatika,2018,2023,2.89,Memuaskan,andi.dimas.kurniawan16@alumni.umm.ac.id,083553440342,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2023 | Gresik,AI Engineer,PT PLN,Jember,Teridentifikasi dari sumber publik,0.88,ORCID,2024-04-22
ALM-2018-01-017,201801017,Rani Galih Ramadhan,Rani Galih Ramadhan | R. Galih Ramadhan | Rani G. | Galih Ramadhan R.,P,2000-06-20,Blitar,Fakultas Teknik,Informatika,2018,2023,3.13,Sangat Memuaskan,rani.galih.ramadhan17@alumni.umm.ac.id,081311570307,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2023 | Blitar,QA Engineer,PT Gudang Garam,Batu,Belum ditemukan di sumber publik,0.12,Google Scholar,2025-05-05
ALM-2018-01-018,201801018,Putri Farhan Sari,Putri Farhan Sari | P. Farhan Sari | Putri F. | Farhan Sari P.,P,2002-03-13,Sidoarjo,Fakultas Teknik,Informatika,2018,2023,3.75,Cumlaude,putri.farhan.sari18@alumni.umm.ac.id,088316648259,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2023 | Sidoarjo,AI Engineer,Startup Nusantara,Mojokerto,Belum Dilacak,0.0,Belum Ada,2024-11-04
ALM-2018-01-019,201801019,Ilham Bagas Rahmawati,Ilham Bagas Rahmawati | I. Bagas Rahmawati | Ilham B. | Bagas Rahmawati I.,L,2007-04-29,Mojokerto,Fakultas Teknik,Informatika,2018,2022,3.08,Sangat Memuaskan,ilham.bagas.rahmawati19@alumni.umm.ac.id,083597724331,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2022 | Mojokerto,Data Engineer,PT Bank Mandiri,Blitar,Belum Dilacak,0.0,Belum Ada,2022-02-21
ALM-2018-01-020,201801020,Dewi Rizky Pratama,Dewi Rizky Pratama | D. Rizky Pratama | Dewi R. | Rizky Pratama D.,P,2002-09-28,Sidoarjo,Fakultas Teknik,Informatika,2018,2022,2.94,Memuaskan,dewi.rizky.pratama20@alumni.umm.ac.id,088325785916,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2022 | Sidoarjo,AI Engineer,PT Telkom Indonesia,Surabaya,Belum Dilacak,0.0,Belum Ada,2022-09-02
ALM-2018-01-021,201801021,Syifa Rizka Setiawan,Syifa Rizka Setiawan | S. Rizka Setiawan | Syifa R. | Rizka Setiawan S.,P,2003-10-27,Sidoarjo,Fakultas Teknik,Informatika,2018,2022,3.12,Sangat Memuaskan,syifa.rizka.setiawan21@alumni.umm.ac.id,084696689457,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2022 | Sidoarjo,Data Engineer,PT Bank Mandiri,Gresik,Teridentifikasi dari sumber publik,0.84,Website Perusahaan,2023-10-24
ALM-2018-01-022,201801022,Bagas Yusuf Hidayat,Bagas Yusuf Hidayat | B. Yusuf Hidayat | Bagas Y. | Yusuf Hidayat B.,L,2008-11-19,Jember,Fakultas Teknik,Informatika,2018,2022,2.97,Memuaskan,bagas.yusuf.hidayat22@alumni.umm.ac.id,089265609985,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2022 | Jember,QA Engineer,Startup Nusantara,Gresik,Belum Dilacak,0.0,Belum Ada,2022-07-28
ALM-2018-01-023,201801023,Farhan Adit Nugroho,Farhan Adit Nugroho | F. Adit Nugroho | Farhan A. | Adit Nugroho F.,L,2008-02-27,Pasuruan,Fakultas Teknik,Informatika,2018,2022,3.12,Sangat Memuaskan,farhan.adit.nugroho23@alumni.umm.ac.id,081977515194,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2022 | Pasuruan,Software Engineer,Startup Nusantara,Gresik,Belum Dilacak,0.0,Belum Ada,2022-05-12
ALM-2018-01-024,201801024,Fitri Siti Pratama,Fitri Siti Pratama | F. Siti Pratama | Fitri S. | Siti Pratama F.,P,2000-04-17,Blitar,Fakultas Teknik,Informatika,2018,2022,3.45,Sangat Memuaskan,fitri.siti.pratama24@alumni.umm.ac.id,089519284858,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2022 | Blitar,Software Engineer,PT PLN,Batu,Belum Dilacak,0.0,Belum Ada,2023-07-20
ALM-2018-01-025,201801025,Iqbal Laila Nugroho,Iqbal Laila Nugroho | I. Laila Nugroho | Iqbal L. | Laila Nugroho I.,L,2001-11-09,Malang,Fakultas Teknik,Informatika,2018,2023,2.75,Memuaskan,iqbal.laila.nugroho25@alumni.umm.ac.id,083880327491,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2023 | Malang,Data Engineer,PT Semen Indonesia,Surabaya,Perlu Verifikasi Manual,0.74,Website Perusahaan,2024-11-28
ALM-2018-01-026,201801026,Arif Zahra Wibowo,Arif Zahra Wibowo | A. Zahra Wibowo | Arif Z. | Zahra Wibowo A.,L,2006-06-24,Jember,Fakultas Teknik,Informatika,2018,2022,3.23,Sangat Memuaskan,arif.zahra.wibowo26@alumni.umm.ac.id,081546696950,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2022 | Jember,QA Engineer,Startup Nusantara,Jember,Teridentifikasi dari sumber publik,0.94,Website Perusahaan,2024-05-13
ALM-2018-01-027,201801027,Arif Wahyu Nugroho,Arif Wahyu Nugroho | A. Wahyu Nugroho | Arif W. | Wahyu Nugroho A.,L,2003-10-27,Batu,Fakultas Teknik,Informatika,2018,2022,3.31,Sangat Memuaskan,arif.wahyu.nugroho27@alumni.umm.ac.id,085659161352,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2022 | Batu,AI Engineer,Startup Nusantara,Batu,Belum Dilacak,0.0,Belum Ada,2024-05-08
ALM-2018-01-028,201801028,Dimas Ahmad Saputra,Dimas Ahmad Saputra | D. Ahmad Saputra | Dimas A. | Ahmad Saputra D.,L,2001-09-29,Pasuruan,Fakultas Teknik,Informatika,2018,2022,3.3,Sangat Memuaskan,dimas.ahmad.saputra28@alumni.umm.ac.id,083472487690,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2022 | Pasuruan,QA Engineer,PT Pupuk Kaltim,Jember,Belum Dilacak,0.0,Belum Ada,2024-01-25
ALM-2018-01-029,201801029,Naufal Adit Hidayat,Naufal Adit Hidayat | N. Adit Hidayat | Naufal A. | Adit Hidayat N.,L,2008-01-07,Mojokerto,Fakultas Teknik,Informatika,2018,2023,2.81,Memuaskan,naufal.adit.hidayat29@alumni.umm.ac.id,084643576871,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2023 | Mojokerto,QA Engineer,PT Pertamina,Pasuruan,Teridentifikasi dari sumber publik,0.96,Website Perusahaan,2024-08-20
ALM-2018-01-030,201801030,Fitri Dewi Hidayat,Fitri Dewi Hidayat | F. Dewi Hidayat | Fitri D. | Dewi Hidayat F.,P,2007-05-05,Pasuruan,Fakultas Teknik,Informatika,2018,2023,3.06,Sangat Memuaskan,fitri.dewi.hidayat30@alumni.umm.ac.id,088033702319,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2023 | Pasuruan,AI Engineer,PT Pupuk Kaltim,Gresik,Belum Dilacak,0.0,Belum Ada,2025-05-08
ALM-2018-01-031,201801031,Safira Aulia Puspitasari,Safira Aulia Puspitasari | S. Aulia Puspitasari | Safira A. | Aulia Puspitasari S.,P,1999-11-27,Sidoarjo,Fakultas Teknik,Informatika,2018,2022,3.03,Sangat Memuaskan,safira.aulia.puspitasari31@alumni.umm.ac.id,083980491761,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2022 | Sidoarjo,Backend Developer,PT PLN,Jember,Belum Dilacak,0.0,Belum Ada,2023-07-02
ALM-2018-01-032,201801032,Naufal Aisyah Firmansyah,Naufal Aisyah Firmansyah | N. Aisyah Firmansyah | Naufal A. | Aisyah Firmansyah N.,L,2006-10-19,Malang,Fakultas Teknik,Informatika,2018,2023,3.32,Sangat Memuaskan,naufal.aisyah.firmansyah32@alumni.umm.ac.id,089344011888,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2023 | Malang,Data Engineer,PT Semen Indonesia,Jember,Belum Dilacak,0.0,Belum Ada,2025-10-08
ALM-2018-01-033,201801033,Rani Hafiz Putra,Rani Hafiz Putra | R. Hafiz Putra | Rani H. | Hafiz Putra R.,P,2004-06-12,Malang,Fakultas Teknik,Informatika,2018,2023,3.15,Sangat Memuaskan,rani.hafiz.putra33@alumni.umm.ac.id,081116402431,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2023 | Malang,QA Engineer,PT Pertamina,Pasuruan,Belum Dilacak,0.0,Belum Ada,2024-06-07
ALM-2018-01-034,201801034,Safira Siti Ramadhan,Safira Siti Ramadhan | S. Siti Ramadhan | Safira S. | Siti Ramadhan S.,P,2002-02-13,Jember,Fakultas Teknik,Informatika,2018,2022,3.75,Cumlaude,safira.siti.ramadhan34@alumni.umm.ac.id,083019952485,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2022 | Jember,AI Engineer,PT Telkom Indonesia,Kediri,Belum Dilacak,0.0,Belum Ada,2024-01-25
ALM-2018-01-035,201801035,Bagas Iqbal Pratama,Bagas Iqbal Pratama | B. Iqbal Pratama | Bagas I. | Iqbal Pratama B.,L,2005-12-19,Sidoarjo,Fakultas Teknik,Informatika,2018,2022,2.9,Memuaskan,bagas.iqbal.pratama35@alumni.umm.ac.id,083875303857,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2022 | Sidoarjo,AI Engineer,PT Bank Mandiri,Pasuruan,Teridentifikasi dari sumber publik,0.92,Google Scholar,2024-10-24
ALM-2018-01-036,201801036,Andi Rendra Rahmawati,Andi Rendra Rahmawati | A. Rendra Rahmawati | Andi R. | Rendra Rahmawati A.,L,2005-06-28,Malang,Fakultas Teknik,Informatika,2018,2022,3.44,Sangat Memuaskan,andi.rendra.rahmawati36@alumni.umm.ac.id,086906898409,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2022 | Malang,Backend Developer,PT PLN,Batu,Teridentifikasi dari sumber publik,0.89,LinkedIn,2024-05-28
ALM-2018-01-037,201801037,Wahyu Rizky Sari,Wahyu Rizky Sari | W. Rizky Sari | Wahyu R. | Rizky Sari W.,L,2004-12-22,Jember,Fakultas Teknik,Informatika,2018,2022,2.83,Memuaskan,wahyu.rizky.sari37@alumni.umm.ac.id,088076144396,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2022 | Jember,Software Engineer,PT Semen Indonesia,Pasuruan,Belum Dilacak,0.0,Belum Ada,2024-08-23
ALM-2018-01-038,201801038,Naufal Rafi Wijaya,Naufal Rafi Wijaya | N. Rafi Wijaya | Naufal R. | Rafi Wijaya N.,L,2006-04-18,Blitar,Fakultas Teknik,Informatika,2018,2023,3.31,Sangat Memuaskan,naufal.rafi.wijaya38@alumni.umm.ac.id,087839626408,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2023 | Blitar,Data Engineer,PT Bank Mandiri,Surabaya,Belum Dilacak,0.0,Belum Ada,2023-08-19
ALM-2018-01-039,201801039,Safira Ahmad Ananda,Safira Ahmad Ananda | S. Ahmad Ananda | Safira A. | Ahmad Ananda S.,P,2008-07-17,Kediri,Fakultas Teknik,Informatika,2018,2022,3.34,Sangat Memuaskan,safira.ahmad.ananda39@alumni.umm.ac.id,086404582459,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2022 | Kediri,Data Engineer,PT Gudang Garam,Blitar,Belum Dilacak,0.0,Belum Ada,2022-02-08
ALM-2018-01-040,201801040,Rizka Rizka Kusuma,Rizka Rizka Kusuma | R. Rizka Kusuma | Rizka R. | Rizka Kusuma R.,P,2006-09-29,Pasuruan,Fakultas Teknik,Informatika,2018,2023,3.29,Sangat Memuaskan,rizka.rizka.kusuma40@alumni.umm.ac.id,081074059253,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2023 | Pasuruan,Data Engineer,PT Bank Mandiri,Jember,Teridentifikasi dari sumber publik,0.84,Website Perusahaan,2024-08-18
ALM-2018-01-041,201801041,Nisa Rizka Maulana,Nisa Rizka Maulana | N. Rizka Maulana | Nisa R. | Rizka Maulana N.,P,2002-12-12,Pasuruan,Fakultas Teknik,Informatika,2018,2022,3.12,Sangat Memuaskan,nisa.rizka.maulana41@alumni.umm.ac.id,081990153355,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2022 | Pasuruan,Backend Developer,PT Astra International,Surabaya,Teridentifikasi dari sumber publik,0.95,Belum Ada,2022-04-07
ALM-2018-01-042,201801042,Dewi Fitri Wijaya,Dewi Fitri Wijaya | D. Fitri Wijaya | Dewi F. | Fitri Wijaya D.,P,2005-09-10,Blitar,Fakultas Teknik,Informatika,2018,2022,3.75,Cumlaude,dewi.fitri.wijaya42@alumni.umm.ac.id,082272368870,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2022 | Blitar,Data Engineer,PT Pertamina,Blitar,Belum Dilacak,0.0,Belum Ada,2022-05-02
ALM-2018-01-043,201801043,Hafiz Wahyu Setiawan,Hafiz Wahyu Setiawan | H. Wahyu Setiawan | Hafiz W. | Wahyu Setiawan H.,L,2006-02-25,Pasuruan,Fakultas Teknik,Informatika,2018,2022,3.8,Cumlaude,hafiz.wahyu.setiawan43@alumni.umm.ac.id,087760554363,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2022 | Pasuruan,QA Engineer,PT Pupuk Kaltim,Pasuruan,Belum Dilacak,0.0,Belum Ada,2023-08-04
ALM-2018-01-044,201801044,Iqbal Amelia Permata,Iqbal Amelia Permata | I. Amelia Permata | Iqbal A. | Amelia Permata I.,L,2005-06-21,Malang,Fakultas Teknik,Informatika,2018,2022,2.93,Memuaskan,iqbal.amelia.permata44@alumni.umm.ac.id,082304963614,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2022 | Malang,Backend Developer,PT PLN,Mojokerto,Teridentifikasi dari sumber publik,0.89,Website Perusahaan,2022-09-13
ALM-2018-01-045,201801045,Annisa Rendra Firmansyah,Annisa Rendra Firmansyah | A. Rendra Firmansyah | Annisa R. | Rendra Firmansyah A.,P,2003-10-23,Blitar,Fakultas Teknik,Informatika,2018,2022,3.48,Sangat Memuaskan,annisa.rendra.firmansyah45@alumni.umm.ac.id,084178659381,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2022 | Blitar,Backend Developer,Startup Nusantara,Gresik,Belum Dilacak,0.0,Belum Ada,2022-04-06
ALM-2018-01-046,201801046,Andi Muhammad Putra,Andi Muhammad Putra | A. Muhammad Putra | Andi M. | Muhammad Putra A.,L,2004-01-20,Batu,Fakultas Teknik,Informatika,2018,2023,3.1,Sangat Memuaskan,andi.muhammad.putra46@alumni.umm.ac.id,086289150149,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2023 | Batu,Data Engineer,UMKM Digital Malang,Pasuruan,Belum Dilacak,0.0,Belum Ada,2024-11-19
ALM-2018-01-047,201801047,Naufal Bagas Puspitasari,Naufal Bagas Puspitasari | N. Bagas Puspitasari | Naufal B. | Bagas Puspitasari N.,L,2001-07-09,Sidoarjo,Fakultas Teknik,Informatika,2018,2022,3.74,Cumlaude,naufal.bagas.puspitasari47@alumni.umm.ac.id,081306702926,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2022 | Sidoarjo,Backend Developer,PT BCA,Batu,Teridentifikasi dari sumber publik,0.88,ORCID,2023-02-15
ALM-2018-01-048,201801048,Zahra Hafiz Wijaya,Zahra Hafiz Wijaya | Z. Hafiz Wijaya | Zahra H. | Hafiz Wijaya Z.,P,2005-01-20,Pasuruan,Fakultas Teknik,Informatika,2018,2023,2.85,Memuaskan,zahra.hafiz.wijaya48@alumni.umm.ac.id,082075321966,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2023 | Pasuruan,Software Engineer,PT Bank Mandiri,Batu,Belum Dilacak,0.0,Belum Ada,2025-05-19
ALM-2018-01-049,201801049,Andi Safira Wijaya,Andi Safira Wijaya | A. Safira Wijaya | Andi S. | Safira Wijaya A.,L,2006-04-22,Pasuruan,Fakultas Teknik,Informatika,2018,2022,2.97,Memuaskan,andi.safira.wijaya49@alumni.umm.ac.id,087808938880,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2022 | Pasuruan,QA Engineer,PT PLN,Pasuruan,Belum Dilacak,0.0,Belum Ada,2023-11-04
ALM-2018-01-050,201801050,Yusuf Dinda Ananda,Yusuf Dinda Ananda | Y. Dinda Ananda | Yusuf D. | Dinda Ananda Y.,L,2002-03-26,Jember,Fakultas Teknik,Informatika,2018,2022,3.3,Sangat Memuaskan,yusuf.dinda.ananda50@alumni.umm.ac.id,086645808194,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2022 | Jember,Data Engineer,PT PLN,Jember,Perlu Verifikasi Manual,0.71,LinkedIn,2024-09-15
ALM-2018-01-051,201801051,Siti Iqbal Wijaya,Siti Iqbal Wijaya | S. Iqbal Wijaya | Siti I. | Iqbal Wijaya S.,P,2003-01-21,Batu,Fakultas Teknik,Informatika,2018,2023,3.5,Cumlaude,siti.iqbal.wijaya51@alumni.umm.ac.id,084264134512,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2023 | Batu,Backend Developer,PT BCA,Mojokerto,Belum Dilacak,0.0,Belum Ada,2024-12-16
ALM-2018-01-052,201801052,Muhammad Syifa Kusuma,Muhammad Syifa Kusuma | M. Syifa Kusuma | Muhammad S. | Syifa Kusuma M.,L,2006-12-17,Sidoarjo,Fakultas Teknik,Informatika,2018,2022,3.41,Sangat Memuaskan,muhammad.syifa.kusuma52@alumni.umm.ac.id,087666869046,Universitas Muhammadiyah Malang | UMM,Informatika | Angkatan 2018 | Lulus 2022 | Sidoarjo,Software Engineer,PT Bank Mandiri,Surabaya,Belum Dilacak,0.0,Belum Ada,2024-03-16
